,NAME,WEBSITE,INDUSTRY,PHONE
0,3M MALAYSIA SDN BHD,https://www.3m.com.my/3M/en_MY/company-my/,Consultancy/BusinessSvcs,60378842888
1,A.M.E. CONSTRUCTION SDN BHD,www.ameconstruction.com.my,Construction/Engineering,073555111
2,A.SCHULMAN THERMOPLASTIC COMPOUNDS SDN BHD,www.aschulman.com/company/locations,Non-MetallicManufactures,075999189
3,AAK MALAYSIA SDN BHD,www.aak.com,Food/Beverages,0327108493
4,AALBORG PORTLAND MALAYSIA SDN BHD,www.aalborgportland.com.my,Non-MetallicManufactures,053218988
5,ACE PRIMA RESOURCES SDN BHD,www.aceprimaresources.com,Chemicals/Minerals,03749677200123271286
6,ACQUEMINI SDN BHD,www.acquemini.com,ICT/Communications,0321816885
7,ADECCO PERSONNEL SDN BHD – JOHOR,www.adecco.com.my,Consultancy/BusinessSvcs,072275818
8,ADEQRICHE ENTERPRISE,,Electrical/Electronics,0136106641
9,ADVENT MS TAX CONSULTANTS SDN BHD,www.moorestephens.com.my,Accountancy/Financial,0377281800
10,ADVENTIST HOSPITAL & CLINIC SERVICES (M),www.pah.com.my,Pharmaceutical/Medical,042227289042227200
11,ADVERT WRITER,http://advertwriter.com,Others(Unspecified),0198831326
12,AEROPOD SDN BHD,www.spsetia.com / www.aeropod.com.my,Consultancy/BusinessSvcs,088218255
13,AFFIN BANK BERHAD,www.affinbank.com.my,Banking/Insurance,0320559000
14,AFFIN HWANG ASSET MANAGEMENT BERHAD,www.affinhwang.com,Banking/Insurance,1800887080
15,AGENSI PEKERJAAN SWASLINK SDN BHD,,Consultancy/BusinessSvcs,0387391233
16,AGILITY LOGISTICS SDN BHD,www.agilitylogistics.com,Port/Logistics,0378418888
17,AGRI CEK SDN BHD,,Agriculture/Plantations,089712868
18,AHMAD ABDULLAH & GOH,www.aag.my,Accountancy/Financial,072241117
19,AIA BHD,www.aia.com.my,Banking/Insurance,0320562993
20,AIRFREIGHT FORWARDERS ASSOCIATION OF MALAYSIA,www.afam.org.my,Others(Unspecified),0322842000
21,AJINOMOTO (MALAYSIA) BERHAD,www.ajinomoto.com.my,Food/Beverages,0379806958
22,AKZO NOBEL PAINTS (MALAYSIA) SDN BHD,www.akzonobel.com,Chemicals/Minerals,0379477500
23,ALCOM NIKKEI SPECIALTY COATINGS SDN BHD,www.alcom.com.my,Metal Manufactures,033346620303334663560333422234
24,ALILA HOTEL BANGSAR,https://www.alilahotels.com/bangsar,Hotels/Tourism,0322683888
25,ALLNEX MALAYSIA SDN BHD,www.allnex.com,Chemicals/Minerals,066763333066763138
26,ALLNEX RESINS MALAYSIA SDN BHD,www.allnex.com,Chemicals/Minerals,063516888
27,ALLTANK SOLUTIONS SDN BHD,www.alltanksolutions.com.my,Metal Manufactures,0351619152
28,ALRASHID DEVELOPMENT GROUP SDN BHD,www.rdsn-kw.com,Property/RealEstate,0323890788
29,ALTHEA SERVICES,http://althea.com.my,Consultancy/BusinessSvcs,0322733415
30,ALTRAPAC SDN BHD,www.altrapac.com,Non-MetallicManufactures,043566355043564055
31,ALUMINIUM COMPANY OF MALAYSIA BERHAD,www.alcom.com.my,Metal Manufactures,033346620303334662620333412311
32,AMARI JOHOR BAHRU,www.amari.com,Hotels/Tourism,072668888
33,AMBU SDN BHD,www.ambu.com,Pharmaceutical/Medical,042529000042529100
34,AMEE PHILIPS SDN BHD,www.ameephilips.com,Retail/Wholesale,042295755
35,AMEE PHILIPS SDN BHD – KUALA LUMPUR,www.ameephilips.com,Retail/Wholesale,03217989770321611833
36,AMETEK ENGINEERED MATERIALS SDN BHD,www.coininginc.com,Electrical/Electronics,046433062
37,AMINVESTMENT BANK BERHAD – JOHOR,,Banking/Insurance,073348766073343699
38,ANALISA RESOURCES (M) SDN BHD,,Machinery/Equipment,0355696217
39,ANCOM BERHAD,www.ancom.com.my,Chemicals/Minerals,0374955007
40,ANGKATAN HEBAT TRADING SDN BHD,,Banking/Insurance,088384663
41,ANSELL INDUSTRIAL & SPECIALTY GLOVES MALAYSIA SDN BHD,,Rubber/WoodProducts,044891973
42,ANT SYNERGY SDN BHD,,Port/Logistics,072383830
43,ANTAH SCHINDLER SDN BHD,www.jardineschindler.com,Construction/Engineering,0377251818
44,AON INSURANCE BROKERS (MALAYSIA) SDN BHD,www.aon.com.my,Banking/Insurance,0327737000
45,APEX SEMINARS SDN BHD,www.apexservices.com.my,Education/Training,
46,AQINA HOLDINGS SDN BHD,www.aqina.com,Agriculture/Plantations,076993344
47,ARGENTINA,,Embassy,0321441451
48,ARGUS SECURE TECH SDN BHD,,Trading(Import/Export),0377330773
49,ASB MANAGEMENT SDN BHD,www.asb.edu.my,Education/Training,0391794110
50,ASIAN ASSET GROUP SDN BHD,www.aagkl.com,Food/Beverages,0379601399
51,ASIAN STRATEGY & LEADERSHIP INSTITUTE,www.asli.com.my,Consultancy/BusinessSvcs,03209357280320935393
52,ASIAN SUPPLY BASE SDN BHD,http://www.asiansupplybase.com/web/,Oil/Gas/Petrochemicals,087411611
53,ASIL GROUP GIDA SANYI DIS TIC STL SDN BHD,,Trading(Import/Export),0321613430
54,ASPEN VISION DEVELOPMENT SDN BHD,www.aspen.com.my,Property/RealEstate,042275000
55,ASSOCIATED PAN MALAYSIA CEMENT SDN BHD,www.lafarge.com.my,Non-MetallicManufactures,052011202
56,ASSOCIATION OF ACCREDITED ADVERTISING AGENTS MALAYSIA,www.aaaa.org.my,Media/Advertising,0376608535
57,ASTRATA (MALAYSIA) SDN BHD,www.astratagroup.com,Electrical/Electronics,0320342088
58,ASTURI METAL BUILDERS (M) SDN BHD,www.ambmsb.com.my,Metal Manufactures,095833888
59,AUSTRALIA,www.malaysia.embassy.gov.au,Embassy,0321465793
60,AUSTRIA,https://www.bmeia.gv.at/en/embassy/kuala-lumpur.html,Embassy,0320322830
61,AXCELASIA TAXAND SDN BHD,www.taxand.com.my,Consultancy/BusinessSvcs,0320322799
62,AXIS REIT MANAGERS BERHAD,www.axis-reit.com.my,Property/RealEstate,0379584882
63,"AZMAN, DAVIDSON & CO.",www.azmandavidson.com.my,Legal,0321640200
64,B BRAUN MEDICAL INDUSTRIES SDN BHD,www.bbraun.com.my,Pharmaceutical/Medical,046324557046323358
65,BANGKOK BANK BERHAD,www.bangkokbank.com,Banking/Insurance,0321746888
66,BANGLADESH,www.bangladesh-highcomkl.com,Embassy,0321487940
67,BANKERS CLUB,www.bankersclub.com.my,Food/Beverages,0321424166
68,BAR FORMULA SDN BHD,www.barformula.com,Agriculture/Plantations,0379318160
69,BARKATH CO-RO MANUFACTURING SDN BHD,www.barkath-coro.com,Food/Beverages,043326332
70,BASF (MALAYSIA) SDN BHD,www.basf.com,Chemicals/Minerals,0356283888
71,BASF PETRONAS CHEMICALS SDN BHD,www.basf-petronas.com.my,Chemicals/Minerals,0378412280
72,BEKAERT IPOH SDN BHD,www.bekaert.com,Metal Manufactures,055264242
73,BELGIUM,http://malaysia.diplomatie.belgium.be/en,Embassy,0321620025
74,BEND WELD ENGINEERING SDN BHD,www.bendweld.com,Oil/Gas/Petrochemicals,076996889
75,BERJAYA CORPORATION BERHAD,www.berjaya.com.my,Consultancy/BusinessSvcs,0321491999
76,BERRY MUCH HOLDING SDN BHD,,Trading(Import/Export),088312323
77,BERTAM PROPERTIES SDN BHD,www.bertam.com.my,Property/RealEstate,045782012
78,BETC SKILLS ACADEMY SDN BHD,www.betc.com.my,Education/Training,073391365
79,BEYOND CORPORATE GROUP SDN BHD,www.beyondcorporatehouse.com,Consultancy/BusinessSvcs,032078999089943335
80,BEYONICS TECHNOLOGY (SENAI) SDN BHD,www.beyonics.com,Electrical/Electronics,075901001
81,BIG BOB TRADING (M) SDN BHD,www.bigbobtrading.com,Trading(Import/Export),0327856917
82,BIOCON SDN BHD,www.biocon.com,Pharmaceutical/Medical,075600000
83,BJS OFFSHORE SDN BHD,https://www.bjsoffshore.com,Oil/Gas/Petrochemicals,0321628688
84,BOH PLANTATIONS SDN BHD,www.boh.com.my,Agriculture/Plantations,0321646555
85,BONANZA VENTURE HOLDINGS SDN BHD,,Consultancy/BusinessSvcs,052421333
86,BORNEO HOUSING MORTGAGE FINANCE BERHAD,www.borneohousing.com.my,Banking/Insurance,088238830
87,BORNEO NATURE TOURS SDN BHD,www.borneonaturetours.com,Hotels/Tourism,08826763
88,BOUSTEAD HOLDINGS BERHAD,www.boustead.com.my,Agriculture/Plantations,0321419044
89,BP PETRONAS ACETYLS SDN BHD,www.bp.com,Chemicals/Minerals,098305300
90,BRANDÍS SUNTORY (M) SDN BHD,www.brandsworld.com,Food/Beverages,0378448686
91,BRAZIL,http://kualalumpur.itamaraty.gov.br/en-us/,Embassy,0321711420
92,BRITAIN,www.ukinmalaysia.fco.gov.uk,Embassy,0321702200
93,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,www.batmalaysia.com,Non-MetallicManufactures,0327208188
94,BROMMA (MALAYSIA) SDN BHD,www.bromma.com,Machinery/Equipment,052938890
95,BRUNEI,,Embassy,0321612800
96,BUKIT JAMBUL HOTEL DEVELOPMENT SDN BHD,penang.equatorial.com,Hotels/Tourism,046327000
97,BUMIBEKAL SDN BHD,,Metal Manufactures,053669884
98,BUSINESS LEGION SDN BHD,,Property/RealEstate,
99,"C H WILLIAMS, TALHAR & WONG SDN BHD",www.wtw.com.my,Property/RealEstate,072243388
100,"C H WILLIAMS, TALHAR & WONG SDN BHD – KUALA LUMPUR",www.cbre-wtw.com.my,Property/RealEstate,0326168888
101,"C H WILLIAMS, TALHAR & WONG SDN BHD – PENANG",www.cbre-wtw.com.my,Property/RealEstate,042633377
102,C. MELCHERS GMBH & CO.,www.melchers.com.my,Machinery/Equipment,0379555566
103,C. MELCHERS GMBH & CO. – JOHOR,www.melchers.com.my,Machinery/Equipment,0379555566
104,CAMBODIA,,Embassy,0342571150
105,CAMFIL MALAYSIA SDN BHD,www.camfil.com,Machinery/Equipment,053668888
106,CAMPBELL CHEONG CHAN (M) SDN BHD,,Food/Beverages,0377876288
107,CANADA,http://www.canadainternational.gc.ca/malaysia-malaisie/index.aspx?lang=eng,Embassy,0327183333
108,CAPE EMS BERHAD,www.toyoplas.com,Electrical/Electronics,075546736
109,CAPE MANUFACTURING (M) SDN BHD,www.cape.my,Metal Manufactures,073310108073310798
110,CARL RONNOW (MALAYSIA) SDN BHD,www.carlronnow.com.my,Rubber/WoodProducts,088483800
111,CARLSBERG BREWERY MALAYSIA BERHAD,www.carlsbergmalaysia.com.my,Food/Beverages,0355226688
112,CARRIER INTERNATIONAL SDN BHD,,Machinery/Equipment,0389258001
113,CASA UNIQUE TRADING LTD,,Trading(Import/Export),0392058550
114,CCM CHEMICALS SDN BHD,www.ccmchemicals.com,Chemicals/Minerals,072510562
115,CCM FERTILIZERS SDN BHD,www.ccm.com.my/ccmf,Chemicals/Minerals,0351632288
116,CELCOM AXIATA BERHAD,www.celcom.com.my,ICT/Communications,0326883939
117,CEMENT INDUSTRIES (SABAH) SDN BHD,www.sabahcement.com.my,Non-MetallicManufactures,088411122
118,CERAMTEC INNOVATIVE CERAMIC ENGINEERING (M) SDN BHD,www.ceramtec.de,Non-MetallicManufactures,066778388
119,Chang Huat Plastic Industries (Senai) Sdn Bhd,,Non-MetallicManufactures,
120,CHEFUTENSILE (M) SDN BHD,www.chefutensile.com,Trading(Import/Export),045026618
121,CHEVRON MALAYSIA LIMITED,www.caltex.com.my,Oil/Gas/Petrochemicals,0322896688
122,CHINA,,Embassy,0342513555
123,CITITEL HOTEL MANAGEMENT SDN BHD,www.chm-hotels.com,Hotels/Tourism,043701188
124,CJ CENTURY LOGISTICS SDN BHD,www.century.com.my,Port/Logistics,075071666
125,CLEVEN WORLDWIDE (M) SDN BHD,,Trading(Import/Export),045304360
126,CMA CGM MALAYSIA SDN BHD,www.cma-cgm.com.my,Transport,03229928010322992888
127,COCA-COLA BOTTLERS (M) SDN BHD,www.coca-cola.com.my,Food/Beverages,067985100
128,COCA-COLA FAR EAST LIMITED,www.coca-cola.com.my,Food/Beverages,0327236331
129,COLOMBIA,http://www.colombiaemb.org/,Embassy,0321645488
130,CONCEPT MARKETING SDN BHD,,Electrical/Electronics,088252633
131,CONOCOPHILLIPS ASIA PACIFIC SDN BHD,www.conocophillips.com,Energy/Utilities,0321785600
132,CONTINENTAL TYRE PJ MALAYSIA SDN BHD,www.conti-sime.com,Rubber/WoodProducts,0377878888
133,CONVEX MALAYSIA SDN BHD,www.klccconventioncetre.com,Consultancy/BusinessSvcs,0323332888
134,CORPORATE DYNAMICS SDN BHD,,Energy/Utilities,088233511
135,CRESCENDO CORPORATION BERHAD,www.crescendo.com.my,Property/RealEstate,072248316
136,CROATIA,,Embassy,0342535340
137,CROWE MALAYSIA,www.crowe.my,Accountancy/Financial,0327889999
138,CROWE MALAYSIA (SABAH),www.crowe.my,Accountancy/Financial,088233733
139,CROWN WORLDWIDE GROUP SDN BHD – PENANG,www.crownrrelo.com,Port/Logistics,045054589
140,CRT INSIGHTS TECHNOLOGIES SDN BHD,,ICT/Communications,073582627
141,CY GROUP SDN BHD,,Property/RealEstate,0362033522
142,CZECH REPUBLIC,www.mzv.cz/kualalumpur,Embassy,0321662900
143,DAIREN CHEMICAL (M) SDN BHD,www.dcc.com.tw,Chemicals/Minerals,072565800
144,DAMCO LOGISTICS MALAYSIA SDN BHD,https://www.damco.com,Transport,075071851
145,DANISCO MALAYSIA SDN BHD,www.danisco.com,Food/Beverages,043995888
146,DANONE DUMEX (MALAYSIA) SDN BHD,www.dumex.com.my,Food/Beverages,0322981688
147,DB TRAINING SOLUTIONS PLT,,Others(Unspecified),
148,DELEUM SERVICES SDN BHD,www.deleum.com,Oil/Gas/Petrochemicals,0322957788
149,DELOITTE TAX SERVICES SDN BHD,www.deloitte.com/my,Accountancy/Financial,052531358
150,DELOITTE TAX SERVICES SDN BHD – JOHOR,www.deloitte.com/my,Accountancy/Financial,072225988
151,DELOITTE TOUCHE TOHMATSU TAX SERVICES SDN BHD,www.deloitte.com/my,Accountancy/Financial,0376108888
152,DENMARK,www.ambkualalumpur.um.dk,Embassy,0320322001
153,DESARU SOUTH COURSE SDN BHD,www.elsclubmalaysia.com,Hotels/Tourism,
154,DEUTSCHE BANK (MALAYSIA) BERHAD,https://www.db.com/malaysia/,Banking/Insurance,0320536788
155,DHL EXPRESS (M) SDN BHD – KOTA KINABALU,www.dhl.com,Port/Logistics,088733000
156,DIAMOND KEY INTERNATIONAL (MALAYSIA) SDN BHD,www.diamondkey.com,Oil/Gas/Petrochemicals,03795100000377270755
157,DISTED PULAU PINANG SDN BHD,disted.edu.my,Education/Training,042296579
158,DKSH HOLDINGS (MALAYSIA) BERHAD,www.dksh.com,Pharmaceutical/Medical,0378828888
159,DONGWHA MALAYSIA SDN BHD -Kedah,www.dongwha.com.my,Rubber/WoodProducts,044022110
160,DR OETKER NONA MALAYSIA SDN BHD,www.oetker.com.my,Food/Beverages,045017504
161,DUTCH LADY MILK INDUSTRIES BERHAD,www.dutchlady.com.my,Food/Beverages,0379532600
162,DXN INDUSTRIES (M) SDN BHD,www.dxn2u.com,Food/Beverages,047723388
163,DYNAC SDN BHD – JOHOR,www.dynac.com.my,Construction/Engineering,072599888
164,DYSON MANUFACTURING SDN BHD,www.dyson.com,Machinery/Equipment,075999333
165,EA MARINE SERVICES SDN BHD,http://www.eamarine.com.my,Trading(Import/Export),075321266
166,EASTERN & ORIENTAL HOTEL SDN BHD,www.eohotels.com,Hotels/Tourism,042222000
167,EASTWOOD TECHNOLOGIES PTE. LTD,,Education/Training,0267018256
168,EATON INDUSTRIES SDN BHD,http://www.eaton.com,Electrical/Electronics,043897566
169,ECON MEDICARE CENTRE AND NURSING HOME SDN BHD,www.econhealthcare.com,Pharmaceutical/Medical,072344680
170,ECUADOR,http://malasia.embajada.gob.ec/,Embassy,0321635078
171,EEW MALAYSIA SDN BHD,www.eew-group.com,Oil/Gas/Petrochemicals,072599333
172,ELEKTRISOLA (MALAYSIA) SDN BHD,www.elektrisola.com,Electrical/Electronics,092210888
173,EMINENT TRANSFORM SDN BHD,,Electrical/Electronics,063125419
174,ENQUEST PETROLEUM PRODUCTION MALAYSIA LTD,www.enquest.com,Oil/Gas/Petrochemicals,0327836031
175,ENVICO TRAVEL RETAIL SDN BHD,www.valiram.com,Retail/Wholesale,0323809888
176,ENVICTUS DAIRIES MARKETING SDN BHD,,Food/Beverages,0379563888
177,ENVIRO-LIFT SERVICES SDN BHD,www.envirolift.com.my,Consultancy/BusinessSvcs,0378463682
178,ENZA ZADEN ASIA SDN BHD,http://www.enzazaden.com,Agriculture/Plantations,045060040
179,EQUINE NUTRITION AUSTRALASIA SDN BHD,https://www.equine-nutrition.com.my,Trading(Import/Export),053574080
180,ERNST & YOUNG – IPOH,www.ey.com/my,Accountancy/Financial,052556393
181,ERNST & YOUNG – JOHOR,www.ey.com/my,Accountancy/Financial,073341740
182,ERNST & YOUNG – KOTA KINABALU,www.ey.com/my,Accountancy/Financial,088235733
183,ERNST & YOUNG – KUANTAN,www.ey.com/my,Accountancy/Financial,095157500
184,ERNST & YOUNG – PENANG,www.ey.com/my,Accountancy/Financial,042641878
185,ESCATEC ELECTRONICS SDN BHD,www.escatec.com,Electrical/Electronics,046432554
186,EURO-CIRCUIT TECHNOLOGY SDN BHD,www.eurocircuit.com.my,Chemicals/Minerals,073822946
187,EUROPEAN UNION,https://eeas.europa.eu/delegations/malaysia_en,Embassy,0327337373
188,EVERGREEN FIBREBOARD (JB) SDN BHD,www.evergreengroup.com.my,Rubber/WoodProducts,074541933
189,EVERGREEN FIBREBOARD BERHAD,www.evergreengroup.com.my,Rubber/WoodProducts,074541933
190,EVERGREEN MARINE CORPORATION (MALAYSIA) SDN BHD – JOHOR,www.evergreen-line.com,Transport,072231559
191,EXNI RAILWAY (MALAYSIA) SDN BHD,www.exnirail.com,Machinery/Equipment,0362509230
192,EXNI RAILWAY (MALAYSIA) SDN BHD,,Machinery/Equipment,
193,EXPORT-IMPORT BANK OF MALAYSIA BERHAD (EXIM),www.exim.com.my,Banking/Insurance,0326012000
194,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC,www.exxonmobil.com.my,Oil/Gas/Petrochemicals,0323803000
195,FANLOGIK ENGINEERING SERVICES SDN BHD,www.fanlogik.co,Construction/Engineering,0333581111
196,FAR EAST MULTIWAY SDN BHD,,Trading(Import/Export),
197,FARASAN INTERNATIONAL SDN BHD,www.farasan-intl.com,Consultancy/BusinessSvcs,0322987340
198,FARM FRESH MILK SDN BHD,www.farmfresh.com.my,Food/Beverages,072323463
199,FATTY CHEMICAL (MALAYSIA) SDN BHD,,Chemicals/Minerals,043998500
200,FEDERAL EXPRESS SERVICES (M) SDN BHD,www.fedex.com,Port/Logistics,0377206000
201,FEED HEALTH SDN BHD,,Trading(Import/Export),0356351633
202,FELDA IFFCO SDN BHD,www.feldaiffco.com,Food/Beverages,0331687788
203,FERRUCCI SDN BHD,www.ferrucciworldwide.com,Trading(Import/Export),0377331373
204,FIJI ISLANDS,,Embassy,0327323335
205,FINISAR MALAYSIA SDN BHD,www.finisar.com,Electrical/Electronics,052907800
206,FINLAND,www.finland.org.my,Embassy,0342577746
207,FIRST MARINE SERVICES (M) SDN BHD,www.fms.com.my,Oil/Gas/Petrochemicals,095736333
208,FIRST SOLAR MALAYSIA SDN BHD,www.firstsolar.com,Energy/Utilities,044016776
209,FLAGSHIP BUILDERS SDN BHD,www.jolandgroup.com.my,Property/RealEstate,072781111
210,FLEXIBLE DUCTING (M) SDN BHD,www.flexibleducting.co.uk,Non-MetallicManufactures,073339555
211,FMC WELLHEAD EQUIPMENT SDN BHD,,Oil/Gas/Petrochemicals,072671000072672200
212,FOCAL CONCEPTS SDN BHD,www.focal-concepts.com,Media/Advertising,042103898
213,FOO NYIT TSE & BROTHERS SDN BHD,,Agriculture/Plantations,052553228
214,FPG OLEOCHEMICALS SDN BHD,www.fpg.com.my,Chemicals/Minerals,095852233
215,FRANCE,www.ambafrance-my.org,Embassy,0320535600
216,FREESCALE SEMICONDUCTOR MALAYSIA SDN BHD,www.freescale.com,Metal Manufactures,0376692000
217,FRESENIUS KABI MALAYSIA SDN BHD,www.fresenius-kabi.com,Pharmaceutical/Medical,0379572929
218,FUJIFILM (MALAYSIA) SDN BHD,www.fujifilm.com.my,Consultancy/BusinessSvcs,0355698388
219,FUMAKILLA MALAYSIA BERHAD,,Non-MetallicManufactures,
220,G HOTEL SDN BHD,www.ghotel.com.my,Hotels/Tourism,042380000
221,G.I. INDUSTRIAL ASIA HOLDING SDN BHD,,Machinery/Equipment,0333926088
222,GABUNGAN SERIMAJU SDN BHD,,Electrical/Electronics,0135520333
223,GAMALUX OILS SDN BHD,www.gamaluxoils.com.my,Oil/Gas/Petrochemicals,0333248011
224,GAMLITE IT (M) SDN BHD,www.gamlite.com,ICT/Communications,088382290
225,GATEWAY INDUSTRIAL CORPORATION SDN BHD,www.gicmy.com,Metal Manufactures,052815739
226,GEMILANG GROUP LTD,www.gemilanggroup.com,Trading(Import/Export),087421644902125316068
227,GEMS EDUCATION M1 SDN BHD,https://pearlcity.gems.edu.my,Education/Training,045097000
228,GENTING BERHAD,http://www.genting.com,Consultancy/BusinessSvcs,0321612288
229,GERARD & ASSOCIATES SDN BHD,www.gerardassociates.com.my,Consultancy/BusinessSvcs,072229919
230,GERMAN-MALAYSIAN INSTITUTE (GMI),http://www.gmi.edu.my,Education/Training,0389219000
231,GERMANY,www.kuala-lumpur.diplo.de,Embassy,0321709666
232,GIGA SPORTS SDN BHD,www.starthreesixty.com,Retail/Wholesale,03802360180380818677
233,GIGABIT HOSTING SDN BHD,,ICT/Communications,0379729149
234,GIMAMED MEDICAL EQUIPMENT CO LTD,,Pharmaceutical/Medical,
235,GITI TIRE (MALAYSIA) SDN BHD,,Rubber/WoodProducts,067610091
236,GLAXOSMITHKLINE MALAYSIA,www.gsk.com.my,Pharmaceutical/Medical,0374952600
237,GLAXOSMITHKLINE PHARMACEUTICAL SDN BHD,www.gsk.com.my,Pharmaceutical/Medical,0374952602
238,GLOHARTA (M) SDN BHD (LE MERIDIEN KOTA KINABALU),www.lemeridien.com/kotakinabalu,Hotels/Tourism,088322222088322210
239,GMC INDUSTRIES SDN BHD,www.gmcindustries.com.my,Metal Manufactures,0351618962
240,GOODYEAR MALAYSIA BERHAD,www.goodyear.com.my,Rubber/WoodProducts,0355203200
241,GRAND BANKS YACHTS SDN BHD,www.grandbanks.com,Non-MetallicManufactures,072517488
242,GRAND MILLENNIUM KUALA LUMPUR,www.grandmillennium.com,Hotels/Tourism,0321174888
243,GRANITE LANJAN SDN BHD,,Construction/Engineering,0392269331
244,GREAT EASTERN LIFE ASSURANCE (MALAYSIA) BERHAD,www.greateasternlife.com,Banking/Insurance,0342598888
245,GREENPEN FREIGHT SERVICES (M) SDN BHD,,Transport,0123810893
246,GS PAPER & PACKAGING SDN BHD,www.gspp.com.my,Non-MetallicManufactures,0331825000
247,GSL TECH SDN BHD,www.gsltech.com.my,Construction/Engineering,01242339010124238083
248,GUARD ADDITIVES SDN BHD,www.gnnh.com,Trading(Import/Export),0356351633
249,HALLIBURTON MANUFACTURING & TECHNOLOGY (M) SDN BHD,,Oil/Gas/Petrochemicals,075974300
250,HAMPSHIRE FOODS SDN BHD,,Food/Beverages,
251,HANSON QUARRY PRODUCTS SDN BHD,www.hanson.biz,Non-MetallicManufactures,0358858888
252,HARRISON ASSESSMENTS (MALAYSIA) SDN BHD,www.harrisonassessments.com,Consultancy/BusinessSvcs,0362011198
253,HASILWAN (M) SDN BHD,www.hasilwan.com.my,Energy/Utilities,0378038887
254,HCM-HYGENIC CORPORATION (MALAYSIA) SDN BHD,http://www.hygenic.com/,Pharmaceutical/Medical,053669188
255,HEINEKEN MALAYSIA BERHAD,www.heinekenmalaysia.com,Food/Beverages,0378614688
